entry_id	concept_id	dag	dag_translit	dag_translat	target_lang	target_lang_gltc	source	comment_source_entry	sep_entry_id	category_zabitov
100	11	жин			Lezgian	lezg1247	zabitov2001		74	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
103	11	джин			Rutul	rutu1240	zabitov2001		75	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
99	11	жин			Tabasaran	taba1259	zabitov2001		74	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
95	11	жинаби			Tsez	dido1241	zabitov2001		70	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
105	11	джин			Udi	udii1243	zabitov2001		76	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
117	12	шейтан			Agul	aghu1253	zabitov2001		86	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
116	12	шейтIан			Archi	arch1244	zabitov2001		85	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
107	12	шайтIан			Avar	avar1256	zabitov2001		78	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
110	12	шайтIан			Bezhta	bezh1248	zabitov2001		81	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
120	12	шийтIан			Budukh	budu1248	zabitov2001		88	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
109	12	щайтIан			Chamalal	cham1309	zabitov2001		80	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
121	12	шайтIа			Chechen	chec1245	zabitov2001		89	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
112	12	шайтIан			Dargwa	darg1241	zabitov2001		83	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
108	12	щайтIан			Godoberi	ghod1238	zabitov2001		79	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
113	12	щяйтIан			Lak	lakk1252	zabitov2001		84	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
115	12	шейтIан			Lezgian	lezg1247	zabitov2001		85	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
119	12	шийтIан			Rutul	rutu1240	zabitov2001		87	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
114	12	шейтIан			Tabasaran	taba1259	zabitov2001		85	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
111	12	шайтIан			Tsez	dido1241	zabitov2001		82	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
118	12	шейтан			Udi	udii1243	zabitov2001		86	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
126	13	илбис		‘дьявол, сатана, черт, хитрец’	Archi	arch1244	zabitov2001		92	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
122	13	илбис		‘дьявол, сатана, черт, хитрец’	Avar	avar1256	zabitov2001		90	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
127	13	илбис		‘дьявол, сатана, черт, хитрец’	Bezhta	bezh1248	zabitov2001		93	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
123	13	илбис		‘дьявол, сатана, черт, хитрец’	Chamalal	cham1309	zabitov2001		90	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
133	13	йилбаз		‘дьявол, сатана, черт, хитрец’	Chechen	chec1245	zabitov2001		98	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
124	13	илбис		‘дьявол, сатана, черт, хитрец’	Dargwa	darg1241	zabitov2001		90	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
125	13	илбиси		‘дьявол, сатана, черт, хитрец’	Godoberi	ghod1238	zabitov2001		91	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
129	13	илвис		‘дьявол, сатана, черт, хитрец’	Lak	lakk1252	zabitov2001		95	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
131	13	иблис		‘дьявол, сатана, черт, хитрец’	Lezgian	lezg1247	zabitov2001		96	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
132	13	иблис		‘дьявол, сатана, черт, хитрец’	Rutul	rutu1240	zabitov2001		97	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
130	13	иблис		‘дьявол, сатана, черт, хитрец’	Tabasaran	taba1259	zabitov2001		96	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
128	13	иблис		‘дьявол, сатана, черт, хитрец’	Tsez	dido1241	zabitov2001		94	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
134	14	эприт1			Lak	lakk1252	zabitov2001		2705	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
135	14	ифрит		демон	Lezgian	lezg1247	zabitov2001		2706	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
138	15	ахирзаман			Bezhta	bezh1248	zabitov2001		2709	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
141	15	ахырзаман			Budukh	budu1248	zabitov2001		2712	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
136	15	ахир-замана			Chamalal	cham1309	zabitov2001		2707	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
139	15	эхирзаман // эхир заман			Lezgian	lezg1247	zabitov2001		2710	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
140	15	эхирзамана			Rutul	rutu1240	zabitov2001		2711	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
137	15	ахир-заман			Tsez	dido1241	zabitov2001		2708	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
142	16	мазгьаб			Avar	avar1256	zabitov2001		99	Религионзные понятия; основные богословские термины
143	16	мезгьеб		‘вера, вероисповедание; секта (религиозная)’	Lezgian	lezg1247	zabitov2001		100	Религионзные понятия; основные богословские термины
144	17	тавбу			Avar	avar1256	zabitov2001		101	Религионзные понятия; основные богословские термины
146	17	тавба			Bezhta	bezh1248	zabitov2001		102	Религионзные понятия; основные богословские термины
152	17	туба		‘обет, запрет; покаяние’	Budukh	budu1248	zabitov2001		106	Религионзные понятия; основные богословские термины
145	17	тавба			Chamalal	cham1309	zabitov2001		102	Религионзные понятия; основные богословские термины
149	17	тавва			Lak	lakk1252	zabitov2001		105	Религионзные понятия; основные богословские термины
150	17	туба			Lezgian	lezg1247	zabitov2001		106	Религионзные понятия; основные богословские термины
151	17	туба			Rutul	rutu1240	zabitov2001		106	Религионзные понятия; основные богословские термины
147	17	тавбу			Tsez	dido1241	zabitov2001		103	Религионзные понятия; основные богословские термины
148	17	табу			Tsez	dido1241	zabitov2001		104	Религионзные понятия; основные богословские термины
154	18	назру			Avar	avar1256	zabitov2001		108	Религионзные понятия; основные богословские термины
155	18	назур		‘торжественное обещание; обет’	Chamalal	cham1309	zabitov2001		109	Религионзные понятия; основные богословские термины
153	18	незуьр			Lezgian	lezg1247	zabitov2001		107	Религионзные понятия; основные богословские термины
163	19	дин			Agul	aghu1253	zabitov2001		2713	Религионзные понятия; основные богословские термины
165	19	дин			Archi	arch1244	zabitov2001		2713	Религионзные понятия; основные богословские термины
157	19	дин			Bezhta	bezh1248	zabitov2001		2713	Религионзные понятия; основные богословские термины
166	19	дин			Budukh	budu1248	zabitov2001		2713	Религионзные понятия; основные богословские термины
159	19	дин			Chamalal	cham1309	zabitov2001		2713	Религионзные понятия; основные богословские термины
156	19	дин			Chechen	chec1245	zabitov2001		2713	Религионзные понятия; основные богословские термины
167	19	ди		вера, религия	Ingush	ingu1240	zabitov2001		2714	Религионзные понятия; основные богословские термины
160	19	дин			Lak	lakk1252	zabitov2001		2713	Религионзные понятия; основные богословские термины
161	19	дин			Lezgian	lezg1247	zabitov2001		2713	Религионзные понятия; основные богословские термины
164	19	дин			Rutul	rutu1240	zabitov2001		2713	Религионзные понятия; основные богословские термины
162	19	дин			Tabasaran	taba1259	zabitov2001		2713	Религионзные понятия; основные богословские термины
158	19	дин			Tsez	dido1241	zabitov2001		2713	Религионзные понятия; основные богословские термины
168	20	мунагь			Avar	avar1256	zabitov2001		110	Религионзные понятия; основные богословские термины
169	20	мунагь			Bezhta	bezh1248	zabitov2001		110	Религионзные понятия; основные богословские термины
170	20	мунегь			Chamalal	cham1309	zabitov2001		111	Религионзные понятия; основные богословские термины
174	20	бунагь			Dargwa	darg1241	zabitov2001		114	Религионзные понятия; основные богословские термины
172	20	мунагьи			Godoberi	ghod1238	zabitov2001		113	Религионзные понятия; основные богословские термины
173	20	бунагь			Lak	lakk1252	zabitov2001		114	Религионзные понятия; основные богословские термины
175	20	гунагь			Lezgian	lezg1247	zabitov2001		115	Религионзные понятия; основные богословские термины
176	20	гунагь			Rutul	rutu1240	zabitov2001		115	Религионзные понятия; основные богословские термины
178	20	гуннагъ		‘грех, вина’	Tabasaran	taba1259	zabitov2001		117	Религионзные понятия; основные богословские термины
171	20	мунахІ			Tsez	dido1241	zabitov2001		112	Религионзные понятия; основные богословские термины
177	20	гуьнах			Udi	udii1243	zabitov2001		116	Религионзные понятия; основные богословские термины
183	21	иман		человечность, почтительность	Archi	arch1244	zabitov2001		2716	Религионзные понятия; основные богословские термины
179	21	иман			Avar	avar1256	zabitov2001		2715	Религионзные понятия; основные богословские термины
187	21	иман		вера, преданность вере	Budukh	budu1248	zabitov2001		2717	Религионзные понятия; основные богословские термины
180	21	иман			Chamalal	cham1309	zabitov2001		2715	Религионзные понятия; основные богословские термины
182	21	иман		вера, самообладание	Lak	lakk1252	zabitov2001		2715	Религионзные понятия; основные богословские термины
184	21	иман			Lezgian	lezg1247	zabitov2001		2717	Религионзные понятия; основные богословские термины
186	21	иман			Rutul	rutu1240	zabitov2001		2717	Религионзные понятия; основные богословские термины
185	21	иман			Tabasaran	taba1259	zabitov2001		2717	Религионзные понятия; основные богословские термины
181	21	иман			Tsez	dido1241	zabitov2001		2715	Религионзные понятия; основные богословские термины
188	22	ислам			Avar	avar1256	zabitov2001		118	Религионзные понятия; основные богословские термины
191	22	ислам			Bezhta	bezh1248	zabitov2001		118	Религионзные понятия; основные богословские термины
197	22	ислам			Budukh	budu1248	zabitov2001		118	Религионзные понятия; основные богословские термины
189	22	ислам			Chamalal	cham1309	zabitov2001		118	Религионзные понятия; основные богословские термины
198	22	ислам		‘ислам, мусульманская вера’	Chechen	chec1245	zabitov2001		118	Религионзные понятия; основные богословские термины
193	22	ислам			Dargwa	darg1241	zabitov2001		118	Религионзные понятия; основные богословские термины
192	22	ислам			Lak	lakk1252	zabitov2001		118	Религионзные понятия; основные богословские термины
194	22	ислам			Lezgian	lezg1247	zabitov2001		118	Религионзные понятия; основные богословские термины
196	22	ислам			Rutul	rutu1240	zabitov2001		118	Религионзные понятия; основные богословские термины
195	22	ислам			Tabasaran	taba1259	zabitov2001		118	Религионзные понятия; основные богословские термины
190	22	ислам			Tsez	dido1241	zabitov2001		118	Религионзные понятия; основные богословские термины
208	23	руьхI			Agul	aghu1253	zabitov2001		123	Религионзные понятия; основные богословские термины
204	23	рухI			Archi	arch1244	zabitov2001		119	Религионзные понятия; основные богословские термины
199	23	рухI			Avar	avar1256	zabitov2001		119	Религионзные понятия; основные богословские термины
205	23	ругь			Bezhta	bezh1248	zabitov2001		120	Религионзные понятия; основные богословские термины
200	23	рухI			Chamalal	cham1309	zabitov2001		119	Религионзные понятия; основные богословские термины
203	23	рухI			Dargwa	darg1241	zabitov2001		119	Религионзные понятия; основные богословские термины
202	23	рухI			Lak	lakk1252	zabitov2001		119	Религионзные понятия; основные богословские термины
207	23	руьгь			Lezgian	lezg1247	zabitov2001		122	Религионзные понятия; основные богословские термины
209	23	ругьI		‘дух, душа’; ‘сила’	Rutul	rutu1240	zabitov2001		124	Религионзные понятия; основные богословские термины
206	23	рюгь			Tabasaran	taba1259	zabitov2001		121	Религионзные понятия; основные богословские термины
201	23	рухI			Tsez	dido1241	zabitov2001		119	Религионзные понятия; основные богословские термины
210	24	суваб			Lezgian	lezg1247	zabitov2001		125	Религионзные понятия; основные богословские термины
211	24	сываб		‘богоугодное дело; божье вознаграждение (тж. религиозный праздник)’	Rutul	rutu1240	zabitov2001		126	Религионзные понятия; основные богословские термины
216	25	Iаламат		‘чудо’	Chechen	chec1245	zabitov2001		130	Религионзные понятия; основные богословские термины
218	25	гIяламат		‘интерес, знак’	Dargwa	darg1241	zabitov2001		132	Религионзные понятия; основные богословские термины
217	25	ъаламат			Godoberi	ghod1238	zabitov2001		131	Религионзные понятия; основные богословские термины
213	25	аьламат			Lak	lakk1252	zabitov2001		128	Религионзные понятия; основные богословские термины
212	25	аламат			Lezgian	lezg1247	zabitov2001		127	Религионзные понятия; основные богословские термины
215	25	гьIаламат			Rutul	rutu1240	zabitov2001		129	Религионзные понятия; основные богословские термины
214	25	аьламат			Tabasaran	taba1259	zabitov2001		128	Религионзные понятия; основные богословские термины
221	26	г1имарат		красивый	Archi	arch1244	zabitov2001		2720	Религионзные понятия; основные богословские термины
219	26	гьумарат		чудо	Rutul	rutu1240	zabitov2001		2718	Религионзные понятия; основные богословские термины
220	26	уьмарат		ценное сооружение, красивое изделие	Tabasaran	taba1259	zabitov2001		2719	Религионзные понятия; основные богословские термины
223	27	пал			Avar	avar1256	zabitov2001		133	Религионзные понятия; основные богословские термины
228	27	фал			Budukh	budu1248	zabitov2001		134	Религионзные понятия; основные богословские термины
224	27	пал			Chamalal	cham1309	zabitov2001		133	Религионзные понятия; основные богословские термины
222	27	пал			Chechen	chec1245	zabitov2001		133	Религионзные понятия; основные богословские термины
226	27	пал			Lak	lakk1252	zabitov2001		133	Религионзные понятия; основные богословские термины
227	27	фал			Lezgian	lezg1247	zabitov2001		134	Религионзные понятия; основные богословские термины
225	27	пал			Tsez	dido1241	zabitov2001		133	Религионзные понятия; основные богословские термины
229	27	фал		‘гадание, предсказание, прорицание, жребий’	Udi	udii1243	zabitov2001		134	Религионзные понятия; основные богословские термины
230	28	мужидат		‘чудо’	Lezgian	lezg1247	zabitov2001		135	Религионзные понятия; основные богословские термины
239	29	ссихІир(кул)		‘хитрость’	Archi	arch1244	zabitov2001		142	Религионзные понятия; основные богословские термины
231	29	сихIру			Avar	avar1256	zabitov2001		136	Религионзные понятия; основные богословские термины
237	29	сихIру			Avar	avar1256	zabitov2001		141	Религионзные понятия; основные богословские термины
232	29	сихIру			Dargwa	darg1241	zabitov2001		136	Религионзные понятия; основные богословские термины
